date,domain,price,venue,length,dot_com,hyphen,numbers
2019-10-08,acquistion.ai,100,Whois.ai,10,0,0,0
2019-04-18,talentpeak.com,104,GoDaddy,10,1,0,0
2019-04-19,unarec.org,101,DropCatch,6,0,0,0
2017-06-29,onn.io,105,Flippa,3,0,0,0
2019-07-13,gigies.com,104,GoDaddy,6,1,0,0
2017-10-07,therighter.com,105,GoDaddy,10,1,0,0
2019-11-25,banglarchokhnews.com,103,GoDaddy,16,1,0,0
2018-08-11,clv21.com,114,DropCatch,5,1,0,1
2017-07-23,antinetwork.com,105,DropCatch,11,1,0,0
2020-03-11,u277.com,102,GoDaddy,4,1,0,1
2017-11-30,repreport.com,105,GoDaddy,9,1,0,0
2019-06-22,todaysseniorsnetwork.com,106,GoDaddy,20,1,0,0
2019-03-08,federaltech.com,100,GoDaddy,11,1,0,0
2019-11-09,crudacafe.com,110,GoDaddy,9,1,0,0
2017-12-24,kenyong.com,104,DropCatch,7,1,0,0
2019-03-15,betterdecide.com,112,GoDaddy,12,1,0,0
2018-04-26,beyondoceans.com,107,GoDaddy,12,1,0,0
2017-12-25,universalrobots.net,101,GoDaddy,15,0,0,0
2018-07-27,smbootcamp.com,111,Sedo,10,1,0,0
2017-07-12,cytodyne.com,104,GoDaddy,8,1,0,0
2018-03-06,professional-lawyers.com,102,GoDaddy,20,1,1,0
2019-10-29,plerts.com,101,GoDaddy,6,1,0,0
2019-04-28,ae222.com,103,GoDaddy,5,1,0,1
2018-05-30,fucaicaipiao.com,104,DropCatch,12,1,0,0
2018-08-22,blazethenight.com,103,GoDaddy,13,1,0,0
2018-02-05,cityofpharr.com,113,GoDaddy,11,1,0,0
2019-12-08,jsjrny.com,114,DropCatch,6,1,0,0
2020-04-14,gossipxtra.com,101,GoDaddy,10,1,0,0
2019-11-26,kiqc.com,110,NameJet,4,1,0,0
2017-09-28,ilvoelv.com,100,GoDaddy,7,1,0,0
2018-12-09,idbokep.com,104,GoDaddy,7,1,0,0
2019-07-09,americanexpress.ai,100,Whois.ai,15,0,0,0
2019-09-03,jackma.ai,100,Whois.ai,6,0,0,0
2020-01-27,iazq.com,110,DropCatch,4,1,0,0
2019-01-31,gamesharkreviews.com,105,GoDaddy,16,1,0,0
2019-09-02,thevillasiemreap.com,105,GoDaddy,16,1,0,0
2019-03-28,referralmob.com,110,GoDaddy,11,1,0,0
2020-03-28,ladymantra.com,101,GoDaddy,10,1,0,0
2019-03-26,oucang.com,114,DropCatch,6,1,0,0
2019-05-31,vfhq.com,109,NameJet,4,1,0,0
2020-05-06,uqdz.com,101,GoDaddy,4,1,0,0
2020-04-14,fittuber.com,105,GoDaddy,8,1,0,0
2020-04-03,mijz.com,107,Sedo,4,1,0,0
2019-06-05,certif.ai,100,Whois.ai,6,0,0,0
2018-05-03,ann.tv,102,Dynadot,3,0,0,0
2019-09-20,111bz.org,103,GoDaddy,5,0,0,1
2019-04-07,strangerdarkerbetter.com,110,DropCatch,20,1,0,0
2018-05-03,500418.com,101,GoDaddy,6,1,0,1
2018-11-13,robotik.org,101,DropCatch,7,0,0,0
2019-07-30,620c663bca9a4.com,110,DropCatch,13,1,0,1
2018-08-07,thelinkers.com,110,GoDaddy,10,1,0,0
2020-03-28,montgomerycountyny.com,107,GoDaddy,18,1,0,0
2020-02-13,valorn.com,110,GoDaddy,6,1,0,0
2019-03-19,x-oom.com,110,GoDaddy,5,1,1,0
2018-06-07,goutianxia.com,114,DropCatch,10,1,0,0
2019-10-03,swarmstorm.com,109,GoDaddy,10,1,0,0
2020-05-02,bloomingfestival.com,104,GoDaddy,16,1,0,0
2019-05-21,regrown.com,110,Dynadot,7,1,0,0
2018-01-08,info-arch.org,110,DropCatch,9,0,1,0
2015-11-30,cucpierre.com,102,NameJet,9,1,0,0
2020-04-20,alsservice.com,102,GoDaddy,10,1,0,0
2018-05-04,cameramobiles.com,105,Flippa,13,1,0,0
2019-04-08,thedostore.com,110,DropCatch,10,1,0,0
2017-06-05,urchef.com,114,GoDaddy,6,1,0,0
2019-11-28,petoapp.com,112,GoDaddy,7,1,0,0
2018-07-11,sustainabletours.com,114,GoDaddy,16,1,0,0
2018-05-09,webtemplateszone.com,110,DropCatch,16,1,0,0
2020-05-16,healproducts.com,103,GoDaddy,12,1,0,0
2019-04-21,mikeoncrime.com,102,GoDaddy,11,1,0,0
2018-08-10,chagribouille.com,112,DropCatch,13,1,0,0
2017-09-11,scrubcaps.com,106,GoDaddy,9,1,0,0
2018-06-22,financerecruiters.co.uk,109,Sedo,17,0,0,0
2019-02-20,domizon.com,112,GoDaddy,7,1,0,0
2019-05-16,retro.ai,100,Whois.ai,5,0,0,0
2020-01-07,reit.ai,100,Whois.ai,4,0,0,0
2018-04-23,chinabros.com,109,Dynadot,9,1,0,0
2019-12-06,petsdental.com,111,GoDaddy,10,1,0,0
2020-04-09,botatquanam.com,100,GoDaddy,11,1,0,0
2020-01-01,vlzu.com,100,DropCatch,4,1,0,0
2020-05-03,whooonline.com,105,GoDaddy,10,1,0,0
2019-04-01,ketobartender.com,107,GoDaddy,13,1,0,0
2018-06-02,recruitwork.com,105,GoDaddy,11,1,0,0
2020-04-08,efn-usa.org,101,DropCatch,7,0,1,0
2019-09-07,opticsgolf.com,100,GoDaddy,10,1,0,0
2018-01-23,vaporsaver.com,103,GoDaddy,10,1,0,0
2019-11-10,deliciousmenus.com,101,GoDaddy,14,1,0,0
2019-07-30,serveriran.com,105,GoDaddy,10,1,0,0
2017-09-12,ticket.xyz,100,Sedo,6,0,0,0
2018-02-14,raisingibrows.com,105,GoDaddy,13,1,0,0
2019-06-20,acoustable.com,110,GoDaddy,10,1,0,0
2016-06-20,anunt123.com,112,GoDaddy,8,1,0,1
2018-11-01,kvgv.com,111,NameJet,4,1,0,0
2018-03-03,contractcoders.com,105,GoDaddy,14,1,0,0
2019-03-11,blockchainkids.com,104,GoDaddy,14,1,0,0
2018-11-22,vfvt.com,114,Sedo,4,1,0,0
2017-12-14,diecastmodels.co,105,GoDaddy,13,0,0,0
2018-04-04,khalel.com,107,GoDaddy,6,1,0,0
2020-04-03,tfvs.com,107,Sedo,4,1,0,0
2019-06-20,electricnevada.org,110,GoDaddy,14,0,0,0
2018-01-28,otoolesherbfarm.com,110,NameJet,15,1,0,0
2019-02-09,hfjzu.com,108,GoDaddy,5,1,0,0
2020-04-10,emperorsnewsuit.com,100,GoDaddy,15,1,0,0
2018-12-27,pescova.com,100,GoDaddy,7,1,0,0
2018-08-08,ezbomb.com,100,Flippa,6,1,0,0
2018-05-02,natureofcyprus.org,103,GoDaddy,14,0,0,0
