domain,price,currency,date,source,venue,tld
pose.com,302670,USD,2024-12-31,dnjournal_ytd,,com
eth.co,300000,USD,2021-12-31,dnjournal_ytd,,co
fsl.com,300000,USD,2024-12-31,dnjournal_ytd,,com
cancel.com,300000,USD,2024-12-31,dnjournal_ytd,,com
binance.ae,300000,USD,2021-12-31,dnjournal_ytd,,ae
oet.com,300000,USD,2022-12-31,dnjournal_ytd,,com
yourride.com,300000,USD,2023-12-31,dnjournal_ytd,,com
vegetarian.com,300000,USD,2023-12-31,dnjournal_ytd,,com
txt.com,300000,USD,2023-12-31,dnjournal_ytd,,com
badger.com,300000,USD,2021-12-31,dnjournal_ytd,,com
maxima.com,295000,USD,2021-12-31,dnjournal_ytd,,com
mortgagebroker.com.au,295000,USD,2024-12-31,dnjournal_ytd,,au
trill.com,289000,USD,2024-12-31,dnjournal_ytd,,com
bowman.com,281000,USD,2021-12-31,dnjournal_ytd,,com
weshare.com,280000,USD,2021-12-31,dnjournal_ytd,,com
kick.com,276077,USD,2020-12-31,dnjournal_ytd,,com
galatea.com,275000,USD,2024-12-31,dnjournal_ytd,,com
skywin.com,275000,USD,2023-12-31,dnjournal_ytd,,com
plans.com,275000,USD,2023-12-31,dnjournal_ytd,,com
girlfriend.ai,274610,USD,2024-12-31,dnjournal_ytd,,ai
important.com,270000,USD,2021-12-31,dnjournal_ytd,,com
canadian.com,269000,USD,2021-12-31,dnjournal_ytd,,com
ipl.com,265000,USD,2024-12-31,dnjournal_ytd,,com
results.com,264000,USD,2020-12-31,dnjournal_ytd,,com
cognitiveautomation.com,260000,USD,2022-12-31,dnjournal_ytd,,com
hdl.com,260000,USD,2023-12-31,dnjournal_ytd,,com
stack.ai,258888,USD,2023-12-31,dnjournal_ytd,,ai
z.org,257000,USD,2022-12-31,dnjournal_ytd,,org
npc.ai,250000,USD,2023-12-31,dnjournal_ytd,,ai
bobber.com,250000,USD,2022-12-31,dnjournal_ytd,,com
laura.com,250000,USD,2022-12-31,dnjournal_ytd,,com
whiskey.com,250000,USD,2023-12-31,dnjournal_ytd,,com
plunge.com,250000,USD,2023-12-31,dnjournal_ytd,,com
onyx.com,250000,USD,2023-12-31,dnjournal_ytd,,com
laced.com,250000,USD,2021-12-31,dnjournal_ytd,,com
followup.com,250000,USD,2021-12-31,dnjournal_ytd,,com
sound.ai,250000,USD,2024-12-31,dnjournal_ytd,,ai
madeiniran.com,250000,USD,2024-12-31,dnjournal_ytd,,com
acquire.com,240020,USD,2022-12-31,dnjournal_ytd,,com
betz.com,240000,USD,2024-12-31,dnjournal_ytd,,com
ala.com,234000,USD,2024-12-31,dnjournal_ytd,,com
mint.io,230000,USD,2021-12-31,dnjournal_ytd,,io
timely.com,228825,USD,2024-12-31,dnjournal_ytd,,com
kindness.com,227002,USD,2022-12-31,dnjournal_ytd,,com
picture.com,225000,USD,2020-12-31,dnjournal_ytd,,com
humanity.org,225000,USD,2024-12-31,dnjournal_ytd,,org
patience.com,221780,USD,2022-12-31,dnjournal_ytd,,com
triple.com,220000,USD,2021-12-31,dnjournal_ytd,,com
gbr.com,206850,USD,2022-12-31,dnjournal_ytd,,com
cybersecurityjobs.com,205000,USD,2022-12-31,dnjournal_ytd,,com
free.co.uk,205000,USD,2020-12-31,dnjournal_ytd,,uk
fiasco.com,203500,USD,2023-12-31,dnjournal_ytd,,com
airplay.com,202000,USD,2023-12-31,dnjournal_ytd,,com
believe.com,200915,USD,2020-12-31,dnjournal_ytd,,com
shop.app,200000,USD,2020-12-31,dnjournal_ytd,,app
aoa.com,200000,USD,2020-12-31,dnjournal_ytd,,com
please.ai,200000,USD,2024-12-31,dnjournal_ytd,,ai
casino.bet,200000,USD,2024-12-31,dnjournal_ytd,,bet
yae.com,200000,USD,2022-12-31,dnjournal_ytd,,com
let.com,200000,USD,2021-12-31,dnjournal_ytd,,com
bodo.com,200000,USD,2021-12-31,dnjournal_ytd,,com
profitable.com,200000,USD,2020-12-31,dnjournal_ytd,,com
fluid.io,199995,USD,2024-12-31,dnjournal_ytd,,io
miri.com,199995,USD,2023-12-31,dnjournal_ytd,,com
bull.xyz,199888,USD,2022-12-31,dnjournal_ytd,,xyz
https.com,197000,USD,2021-12-31,dnjournal_ytd,,com
bath.com,195000,USD,2020-12-31,dnjournal_ytd,,com
palestine.com,194400,USD,2023-12-31,dnjournal_ytd,,com
rvsforsale.com,194213,USD,2021-12-31,dnjournal_ytd,,com
it.co.uk,187200,USD,2020-12-31,dnjournal_ytd,,uk
medal.com,185728,USD,2022-12-31,dnjournal_ytd,,com
betu.com,180000,USD,2021-12-31,dnjournal_ytd,,com
exchangerates.com,180000,USD,2021-12-31,dnjournal_ytd,,com
listing.com,180000,USD,2021-12-31,dnjournal_ytd,,com
electriccar.com,180000,USD,2020-12-31,dnjournal_ytd,,com
prove.com,175000,USD,2020-12-31,dnjournal_ytd,,com
solarenergy.com,175000,USD,2023-12-31,dnjournal_ytd,,com
rake.com,175000,USD,2022-12-31,dnjournal_ytd,,com
bookstore.com,175000,USD,2021-12-31,dnjournal_ytd,,com
blunt.com,175000,USD,2022-12-31,dnjournal_ytd,,com
metaverse.io,175000,USD,2021-12-31,dnjournal_ytd,,io
smartwallet.com,175000,USD,2021-12-31,dnjournal_ytd,,com
unchained.com,174999,USD,2021-12-31,dnjournal_ytd,,com
ready.org,169888,USD,2020-12-31,dnjournal_ytd,,org
dealmaker.com,168000,USD,2021-12-31,dnjournal_ytd,,com
fsm.com,161719,USD,2021-12-31,dnjournal_ytd,,com
fume.com,160000,USD,2021-12-31,dnjournal_ytd,,com
nfc.com,160000,USD,2023-12-31,dnjournal_ytd,,com
x.game,160000,USD,2024-12-31,dnjournal_ytd,,game
scottish.com,155000,USD,2021-12-31,dnjournal_ytd,,com
ecommerce.de,152000,USD,2021-12-31,dnjournal_ytd,,de
fanbase.com,151000,USD,2020-12-31,dnjournal_ytd,,com
throne.com,150000,USD,2023-12-31,dnjournal_ytd,,com
schematic.com,150000,USD,2023-12-31,dnjournal_ytd,,com
mindsprint.com,150000,USD,2024-12-31,dnjournal_ytd,,com
super.net,150000,USD,2024-12-31,dnjournal_ytd,,net
7.io,150000,USD,2024-12-31,dnjournal_ytd,,io
technologyholdings.com,150000,USD,2022-12-31,dnjournal_ytd,,com
bettingtips.com,150000,USD,2020-12-31,dnjournal_ytd,,com
swiper.com,150000,USD,2023-12-31,dnjournal_ytd,,com
copymarkets.com,150000,USD,2021-12-31,dnjournal_ytd,,com
nuum.com,150000,USD,2023-12-31,dnjournal_ytd,,com
skates.com,150000,USD,2021-12-31,dnjournal_ytd,,com
gian.com,150000,USD,2022-12-31,dnjournal_ytd,,com
cgd.com,150000,USD,2021-12-31,dnjournal_ytd,,com
cluster.com,150000,USD,2021-12-31,dnjournal_ytd,,com
hot7.com,150000,USD,2023-12-31,dnjournal_ytd,,com
mules.com,150000,USD,2021-12-31,dnjournal_ytd,,com
chronic.com,150000,USD,2021-12-31,dnjournal_ytd,,com
mindmesh.com,150000,USD,2026-06-12,dnjournal,,com
foreveryoung.com,150000,USD,2020-12-31,dnjournal_ytd,,com
eshop.com,148134,USD,2021-12-31,dnjournal_ytd,,com
memento.com,148000,USD,2020-12-31,dnjournal_ytd,,com
accelerator.com,145050,USD,2023-12-31,dnjournal_ytd,,com
skweezer.net,144000,USD,2021-12-31,dnjournal_ytd,,net
btc365.com,143480,USD,2021-12-31,dnjournal_ytd,,com
